_id,date,gender,race,agebook,agecurr
636,1/1/2018,M,B,50,50
637,1/1/2018,M,W,26,27
638,1/1/2018,M,B,19,19
639,1/1/2018,M,B,41,42
640,1/1/2018,M,B,36,36
641,1/1/2018,M,B,21,22
642,1/1/2018,M,W,33,34
643,1/1/2018,M,B,27,28
644,1/1/2018,M,B,56,57
645,1/1/2018,M,W,31,32
646,1/1/2018,M,B,36,37
647,1/1/2018,M,B,56,57
648,1/1/2018,M,W,35,35
649,1/1/2018,M,B,57,57
650,1/1/2018,M,B,31,31
651,1/1/2018,M,B,33,33
652,1/1/2018,M,B,20,20
653,1/1/2018,M,B,46,46
654,1/1/2018,M,B,28,28
655,1/1/2018,M,A,31,31
656,1/1/2018,M,W,38,38
657,1/1/2018,M,W,50,51
658,1/1/2018,M,B,38,39
659,1/1/2018,M,B,19,19
660,1/1/2018,M,B,20,21
661,1/1/2018,M,B,24,25
662,1/1/2018,M,W,48,48
663,1/1/2018,M,B,20,20
664,1/1/2018,M,B,34,34
665,1/1/2018,M,B,22,23
666,1/1/2018,M,W,25,26
667,1/1/2018,M,B,30,30
668,1/1/2018,M,B,51,52
669,1/1/2018,M,W,32,33
670,1/1/2018,M,W,36,37
671,1/1/2018,M,B,40,41
672,1/1/2018,M,W,52,52
673,1/1/2018,M,W,58,58
674,1/1/2018,M,W,36,36
675,1/1/2018,M,W,29,29
676,1/1/2018,M,B,30,30
677,1/1/2018,M,B,25,26
678,1/1/2018,M,W,29,30
679,1/1/2018,M,B,64,64
680,1/1/2018,M,W,35,35
681,1/1/2018,M,B,34,34
682,1/1/2018,M,B,31,32
683,1/1/2018,M,B,53,53
684,1/1/2018,M,B,40,41
685,1/1/2018,M,B,31,31
686,1/1/2018,M,W,30,30
687,1/1/2018,M,B,31,31
688,1/1/2018,M,W,59,59
689,1/1/2018,M,B,44,44
690,1/1/2018,M,B,24,24
691,1/1/2018,M,B,44,44
692,1/1/2018,M,W,28,28
693,1/1/2018,M,B,52,53
694,1/1/2018,M,B,32,32
695,1/1/2018,M,B,31,32
696,1/1/2018,M,W,38,38
697,1/1/2018,M,B,28,28
698,1/1/2018,M,B,27,27
699,1/1/2018,M,B,24,24
700,1/1/2018,M,B,21,22
701,1/1/2018,M,W,24,24
702,1/1/2018,M,B,19,19
703,1/1/2018,M,W,27,27
704,1/1/2018,M,B,20,20
705,1/1/2018,M,x,33,33
706,1/1/2018,M,B,41,41
707,1/1/2018,M,W,27,27
708,1/1/2018,M,B,57,57
709,1/1/2018,M,W,25,25
710,1/1/2018,M,B,40,40
711,1/1/2018,M,W,22,22
712,1/1/2018,M,B,27,27
713,1/1/2018,M,B,29,29
714,1/1/2018,M,B,39,39
715,1/1/2018,M,B,27,27
716,1/1/2018,M,B,31,31
717,1/1/2018,M,B,25,25
718,1/1/2018,M,B,23,23
719,1/1/2018,M,B,20,20
720,1/1/2018,M,W,64,64
721,1/1/2018,M,H,35,35
722,1/1/2018,M,B,20,20
723,1/1/2018,M,B,22,24
724,1/1/2018,M,B,18,20
725,1/1/2018,M,B,20,22
726,1/1/2018,M,B,36,38
727,1/1/2018,M,B,32,34
728,1/1/2018,M,W,38,39
729,1/1/2018,M,B,44,45
730,1/1/2018,M,B,29,30
731,1/1/2018,M,B,57,58
732,1/1/2018,M,W,29,30
733,1/1/2018,M,B,30,31
734,1/1/2018,M,B,31,32
735,1/1/2018,M,B,28,29
736,1/1/2018,M,B,37,38
737,1/1/2018,M,B,19,20
738,1/1/2018,M,B,32,33
739,1/1/2018,M,W,33,34
740,1/1/2018,M,B,32,33
741,1/1/2018,M,B,21,22
742,1/1/2018,M,B,46,46
743,1/1/2018,M,B,32,32
744,1/1/2018,M,B,17,18
745,1/1/2018,M,B,36,37
746,1/1/2018,M,B,37,38
747,1/1/2018,M,B,36,37
748,1/1/2018,M,W,32,32
749,1/1/2018,M,B,52,53
750,1/1/2018,M,B,33,34
751,1/1/2018,M,B,34,35
752,1/1/2018,M,W,28,28
753,1/1/2018,M,B,25,26
754,1/1/2018,M,B,24,24
755,1/1/2018,M,B,38,38
756,1/1/2018,M,W,29,29
757,1/1/2018,M,B,34,35
758,1/1/2018,M,B,27,27
759,1/1/2018,M,B,35,36
760,1/1/2018,M,B,25,26
761,1/1/2018,M,B,19,20
762,1/1/2018,M,W,27,28
763,1/1/2018,M,B,18,19
764,1/1/2018,M,B,49,49
765,1/1/2018,M,B,23,23
766,1/1/2018,M,B,35,35
767,1/1/2018,M,B,61,61
768,1/1/2018,M,W,62,62
769,1/1/2018,M,B,30,30
770,1/1/2018,M,B,29,29
771,1/1/2018,M,B,30,30
772,1/1/2018,M,B,49,49
773,1/1/2018,M,B,26,26
774,1/1/2018,M,B,23,23
775,1/1/2018,M,B,36,36
776,1/1/2018,M,B,39,39
777,1/1/2018,M,B,36,37
778,1/1/2018,M,B,19,19
779,1/1/2018,M,B,55,55
780,1/1/2018,M,B,31,31
781,1/1/2018,M,B,38,38
782,1/1/2018,M,B,33,33
783,1/1/2018,M,B,25,25
784,1/1/2018,M,B,35,35
785,1/1/2018,M,B,32,32
786,1/1/2018,M,B,23,23
787,1/1/2018,M,B,35,36
788,1/1/2018,M,B,23,23
789,1/1/2018,M,W,37,37
790,1/1/2018,M,B,46,46
791,1/1/2018,M,B,26,26
792,1/1/2018,M,W,35,35
793,1/1/2018,M,B,37,37
794,1/1/2018,M,A,25,25
795,1/1/2018,M,H,26,26
796,1/1/2018,M,B,53,53
797,1/1/2018,M,B,31,31
798,1/1/2018,M,W,32,32
799,1/1/2018,M,W,36,36
800,1/1/2018,M,B,29,29
801,1/1/2018,M,W,31,31
802,1/1/2018,M,B,28,28
803,1/1/2018,M,B,44,44
804,1/1/2018,M,B,35,36
805,1/1/2018,M,W,32,32
806,1/1/2018,M,B,30,30
807,1/1/2018,M,B,52,52
808,1/1/2018,M,B,34,34
809,1/1/2018,M,B,24,24
810,1/1/2018,M,B,28,28
811,1/1/2018,M,B,45,45
812,1/1/2018,M,W,22,22
813,1/1/2018,M,B,55,55
814,1/1/2018,M,B,21,21
815,1/1/2018,M,W,42,42
816,1/1/2018,M,W,24,24
817,1/1/2018,M,B,37,37
